Date,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked,Bloomberg Barclays Municipal Bond,Bloomberg Barclays Global High Yield
20251231,29843646319502.86,32734792445463.94,1373244265050.14,1496814494043.26,12027844100723,11215967336409,1921435756052.0,1844768842483.0,5125495982612,5100687050987,776310304002.0,757645321699.0,30853923680848,40849369103359,3098101017329,1916918968068,2849116783914
20251128,29828619481071.332,32941056206620.47,1365431151556.75,1488944462484.85,11548525209749,11038416812627,1874490198880.0,1820288817379.0,4980042691700,4973516535218,768057638542.0,755818639855.0,30872685517748,40746847199970,3067770060763,1916377958229,2845749438976
20251031,29109107773254.918,33575773170887.992,1335029961736.54,1501156319954.86,11225910540014,11145992151056,1826706486216.0,1803010245597.0,4631758513847,5477782499811,786750899326.0,804464117036.0,30658462902687,40564457160298,3034506022655,1908904049229,2842801064045
20250930,29011675262279.45,32406882431928.81,1337434578374.71,1460468490658.49,11160373892519,10982374014939,1842752204203.0,1838231997090.0,4455377293115,5252796737156,769486954253.0,788116201976.0,30422146304025,40793887100549,3037440864781,1867714980861,2834537595025
20250829,28670609494124.99,30823645698310.0,1318062717371.86,1387754600524.54,11005720654306,10732377034893,1812375135995.0,1809217532024.0,4177365998477,4891424171204,755099942251.0,777926432586.0,29977971882799,40621666792655,3012132526057,1814093067136,2787234103070
20250731,27849977413146.27,30500751655233.742,1220667828979.94,1310383882080.56,10488448656048,10404385515196,1705249199689.0,1754571019003.0,4201935934612,4714700580497,723712909126.0,756866208109.0,29642128267716,39834520935848,2968931646577,1787024625942,2770857071209
20250630,27753329403015.62,29395938306844.39,1210327787444.8599,1305195230636.04,10452321448902,10691594620790,1705206641695.0,1772777212013.0,4150703916569,4610328518287,722618103075.0,750894851125.0,29679802907211,40711694905420,3035467842504,1780506212106,2762505550510
20250530,24874940419469.25,29361286650235.28,1167905178567.76,1258925910800.3398,10554026266127,10092780236799,1705512468934.0,1647961801427.0,3927886619539,4321366589107,697161599339.0,703197665671.0,29152944812892,39843089583216,2926277687519,1757076631560,2671619989183
20250430,24079385982600.4,26989969275072.133,1122850303350.26,1183568938838.64,10201135055323,9612441647052,1647190451749.0,1548976011336.0,3791891081896,4143676154149,652061192649.0,647874475486.0,29372641262194,39638990212359,2924041467027,1748146399606,2624332962097
20250331,24873057595276.168,26540708128200.13,1178228307072.8499,1201222237429.15,9856186450626,9168556140166,1579967794619.0,1466090563438.0,3783982655782,4069263469291,638866413821.0,627949646849.0,29226070481504,37541082546459,2874227535658,1748737196126,2642922207052
20250228,25680286627533.582,28830186166601.41,1254834087762.99,1300848861643.91,9858589099902,9506180246972,1489573942223.0,1475893121314.0,3755005473498,4064342082208,619207663816.0,616746714860.0,29167320585914,37145235699503,2868099172775,1768061620133,2666290746208
20250131,25601346153406.19,29925638590501.8,1314168392561.94,1403661161250.8599,9550666214967,9501605069726,1492260247030.0,1505375966405.0,3715576868709,4075392441273,632878646838.0,638119740746.0,28490004267625,36619705912460,2809995582431,1743091078480,2632020190390
20241231,24504018524488.91,29360214144311.082,1291617746424.91,1361323135502.79,9128643975367,9027882776936,1453395709464.0,1462269974488.0,3669581474667,3996409127772,647606265697.0,658872965796.0,28193912506844,36051882900640,2812334750853,1720902548452,2613181611108
20241129,26435960111716.07,29179363434548.93,1403418220862.07,1471554686171.33,9339551001782,9334718242171,1491200152275.0,1502455669817.0,3703416199319,3984639093707,660945976312.0,659221420981.0,28586936751456,37245259129965,2879094674355,1748304872020,2630760399875
20241031,24893691548373.0,27418447439337.0,1285712740699.01,1317135864117.49,9381394077117,9259102824813,1489880051854.0,1500245515485.0,3695638567258,4222345062822,671001995513.0,674880906784.0,28316163688448,37224945181971,2855257914319,1729875698711,2615273303683
20240930,25205667285682.51,27516839970107.51,1311103159489.48,1341838453838.1199,9834111342574,9817874345290,1585507268459.0,1594761569688.0,3893413834991,4382938688265,700497659987.0,702497034823.0,28911537399447,38754671704710,2967337849378,1735862229958,2637444482035
