Group,Artifact,Path
index,00_required_output_index,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\00_required_output_index.csv
summary,performance_summary,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\summary\performance_summary.csv
summary,project_parameters,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\summary\project_parameters.csv
weights,annual_benchmark_weights,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\weights\annual_benchmark_weights.csv
weights,annual_view_portfolio_weights,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\weights\annual_view_portfolio_weights.csv
weights,annual_optimal_portfolio_weights,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\weights\annual_optimal_portfolio_weights.csv
weights,annual_active_weights,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\weights\annual_active_weights.csv
black_litterman,base_view_definitions,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\base_view_definitions.csv
black_litterman,annual_view_inputs_q,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\annual_view_inputs_q.csv
black_litterman,annual_view_confidence_omega_multipliers,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\annual_view_confidence_omega_multipliers.csv
black_litterman,adaptive_view_summary,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\adaptive_view_summary.csv
black_litterman,annual_implied_expected_returns,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\annual_implied_expected_returns.csv
black_litterman,annual_bl_posterior_expected_returns,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\annual_bl_posterior_expected_returns.csv
black_litterman,annual_bl_posterior_minus_implied_returns,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\annual_bl_posterior_minus_implied_returns.csv
black_litterman,optimization_diagnostics,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\black_litterman\optimization_diagnostics.csv
backtest,monthly_backtest_returns_and_growth,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\backtest\monthly_backtest_returns_and_growth.csv
backtest,annual_holding_period_summary,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\backtest\annual_holding_period_summary.csv
final_year,final_year_covariance_matrix,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\final_year\final_year_covariance_matrix.csv
final_year,final_year_volatility,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\final_year\final_year_volatility.csv
final_year,final_year_correlation_matrix,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\final_year\final_year_correlation_matrix.csv
workbook,long_only_multiasset_required_outputs,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\long_only_multiasset_required_outputs.xlsx
figures,growth_of_1_chart,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\figures\growth_of_1_chart.png
figures,relative_outperformance_chart,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\figures\relative_outperformance_chart.png
figures,performance_summary_table,D:\python_learning_virtual_evns\MATH5380\long_only_multiasset\result\bond_em\figures\performance_summary_table.png
