Date,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
2007-06-29,-4.337578679409594e-05,-3.5702809331312205e-05,-5.350478900188859e-05,-5.36859893641172e-05,-5.960947844508757e-05,-6.118834443806807e-05,-4.852891820241407e-05,-5.7576470336726074e-05,-6.182697385797159e-05,-3.0480758618671767e-05,-5.720461713593436e-05,-6.0727533799016006e-05,1.6928293228713474e-05,-0.0002548714235785064,0.00018514344059223143,1.8522377331962266e-05,-1.2017496941702147e-05
2008-06-30,-6.373057313906215e-06,-4.589153743255898e-06,-1.4831779697905958e-05,-1.581816603606422e-05,-1.540594628089982e-05,-1.5258740267595297e-05,-1.8166414638120895e-05,-1.9607578446202776e-05,1.3604598249372844e-06,-3.161064681108201e-05,-2.1652385325815704e-05,-2.5229885064693405e-05,4.959504445396278e-06,-0.00010872497248526084,6.603667716447168e-05,5.693131167698118e-06,-5.533067739920131e-06
2009-06-30,7.628337557976217e-07,8.878960890632382e-07,7.539272603041363e-07,9.724609712940138e-07,8.236783700289236e-07,8.759920945399834e-07,9.579379872165378e-07,1.0404337262181012e-06,4.257971450144029e-06,-1.8653415542561738e-06,1.1812282365766464e-06,1.3346397358326805e-06,1.1700177016275465e-07,-1.3603395926621152e-06,2.2501710781139666e-06,1.870925550706809e-07,1.0087941159835422e-06
2010-06-30,5.777190486587015e-06,7.433047826038342e-06,6.595461930779255e-06,9.016351797793413e-06,6.966545730668782e-06,7.88525681888731e-06,8.361739362963072e-06,9.657235923395843e-06,1.7234260650457247e-05,4.628072765844955e-06,1.083657100128754e-05,1.2254822135112775e-05,3.9288009950286413e-07,-1.0821208282049407e-05,1.765537281781439e-05,7.505482277796181e-07,8.04414265830774e-06
2011-06-30,4.432070239938806e-06,6.035647151306484e-06,5.346694000683648e-06,7.629457427327222e-06,4.6354038977074595e-06,5.791460293755841e-06,5.910684886752553e-06,7.23409429283725e-06,1.5068676286564105e-05,1.4597106212573077e-06,8.23284913738741e-06,9.753059367011593e-06,2.915273516821378e-07,-1.2400601438525929e-05,1.6483729759936634e-05,6.328371074765078e-07,6.8497759346179565e-06
2012-06-29,4.3163780004443345e-05,6.157097558279705e-05,5.212210518190067e-05,7.747484385329082e-05,4.238092776133849e-05,5.4193381473518e-05,5.5242642844912505e-05,7.01870418706882e-05,8.291523212499524e-05,7.807351583040715e-05,8.04486711810448e-05,9.705999626273121e-05,1.3669404160660381e-06,-0.00013695388586581242,0.00016331657542163427,6.220210830475706e-06,6.730620393187736e-05
2013-06-28,3.541238572362027e-05,4.695171881789707e-05,4.18209990856953e-05,5.814430640459143e-05,3.673335848978624e-05,4.401657951234229e-05,4.747851963728803e-05,5.523191747339009e-05,5.752413015613407e-05,6.193720920492368e-05,6.117805510344056e-05,7.40002463040826e-05,1.1434428334964134e-06,-9.740699192250606e-05,0.00012726050691820562,4.715855889331191e-06,5.220036696574194e-05
2014-06-30,-7.724545312183923e-06,-6.385665793458171e-06,-6.561379169269124e-06,-6.42357318142752e-06,-9.975416939407304e-06,-8.782780039267902e-06,-1.0784409431263524e-05,-1.13053187100996e-05,-3.869232637866612e-06,-1.5877726083195962e-05,-6.56882761307616e-06,-3.925468627169415e-06,-6.105121915557289e-07,-5.8221454113293935e-05,3.235801410021167e-05,1.3740386252452548e-07,-2.660110428339336e-06
2015-06-30,-4.910084201621038e-05,-3.655125713234285e-05,-5.878210144730765e-05,-5.4171208188282925e-05,-7.351074151067395e-05,-6.065466674093661e-05,-8.758913819721729e-05,-9.246602638012604e-05,-7.82874166529758e-05,-6.853635645530232e-05,-5.8181716051226394e-05,-4.34434625129982e-05,1.1100145409300295e-05,-0.00028834790936498874,0.00014788152745075675,1.886872479557445e-05,-3.159498331767909e-05
2016-06-30,1.239746067138474e-06,2.478132433965556e-06,9.693882972954942e-07,2.6687587881981466e-06,5.483657169624881e-07,1.369926728269121e-06,-1.610705920805389e-06,-1.1246041640409054e-06,-8.917939018160003e-06,5.8279832888109615e-06,-9.832356774665043e-07,1.0680637609218537e-06,7.030559393716618e-07,-1.3791396082899662e-05,8.191465369633933e-06,1.035350089662774e-06,-3.267302822162775e-07
2017-06-30,2.9252693273577753e-05,2.984250302827084e-05,5.3762659169902375e-05,5.35146871889389e-05,3.2094758388001766e-05,1.271226352782464e-05,-1.785581036305768e-06,-1.0528550675552577e-05,-2.9825655421242365e-05,6.934920793898464e-06,-9.864789017386956e-06,9.389651305155534e-06,3.086511078418944e-07,-0.00020720699665705512,0.00011257497064515198,1.8498700222122903e-06,2.50337765246865e-07
2018-06-29,4.213494637219457e-06,3.90820975209667e-06,1.0704969465132666e-05,1.0194248373032976e-05,2.4707927897836238e-06,4.632032215569371e-07,-3.353865868567922e-06,-3.194079300685253e-06,-1.1147233240883852e-05,3.718205137588229e-07,-4.02772316495242e-06,1.669475765309156e-07,7.863530903188904e-07,-4.186117903115492e-05,1.808623399771834e-05,9.355218807497165e-07,-9.994246642263907e-07
2019-06-28,1.4986460731244858e-05,1.1310890665091329e-05,3.046745848670864e-05,2.764675186967371e-05,8.753572342921462e-06,7.032036490223822e-07,-6.96483070921591e-06,-9.022460871289382e-06,2.749437016056052e-06,-4.047960190150271e-05,-2.2128405382955705e-05,-1.4654720955641155e-05,-1.6412276988447944e-06,-0.00010677841047726855,3.6526251683625664e-05,-3.926008871455625e-06,-2.7981913556260694e-06
2020-06-30,6.390526424774717e-05,5.874477427735882e-05,0.000107442763289344,0.00010303844606549715,4.4416764021173174e-05,2.511819210714143e-05,3.1161194008601856e-05,3.155539599189831e-05,-2.5590222745580407e-05,-1.3190844144948577e-05,-1.0408767511189362e-05,7.230271781026339e-06,-1.707102880028729e-06,-0.00018051656681190403,9.987097572881803e-05,-1.1432310390131864e-06,2.2917440349177496e-05
2021-06-30,5.1654014295713116e-05,2.758376583909487e-05,8.739675652357354e-05,4.727327928501379e-05,3.9899060791059875e-05,1.0707750080301965e-05,3.8948327579036285e-05,2.279143483630966e-05,-1.709791380880477e-05,-2.6610722905894428e-05,5.704859499437834e-06,7.81366668212069e-06,-2.2735808400591764e-06,-0.00014566030418216322,0.00010807734391492425,2.206975516820463e-06,2.161444654542409e-05
2022-06-30,3.0627822139633746e-05,4.2412103729516574e-05,3.334375839302148e-05,2.700101303404129e-05,1.1461451894833608e-05,2.7554850901047424e-05,2.5806452272756433e-05,3.085745717802526e-05,2.3876121569904643e-06,-4.1378447120824105e-05,1.2828057258287773e-05,1.8439578208544287e-05,2.1339463938522143e-06,-8.800806600380426e-05,0.00011858998461382492,5.283043263612277e-06,1.1254969773284943e-05
2023-06-30,4.627883709300597e-06,-1.2549098777003434e-05,4.661479921774564e-06,-8.203785816978719e-06,1.0239702315930276e-05,-4.740156330543393e-06,5.523884785908899e-06,-6.238477778077556e-06,6.658212029221652e-05,-0.00010000430432879659,2.4914897352633946e-06,-5.264208892922913e-06,-4.891845575807421e-06,-1.6324554765021191e-06,-1.0548337021113641e-05,-4.252881724887281e-06,-1.6530324808795192e-06
2024-06-28,2.4143296181614186e-05,1.870783727148858e-05,2.8857239634035995e-05,1.7535718967920115e-05,1.8808151832029812e-05,1.3504183224459493e-05,2.0111712855676436e-05,1.4763640449791583e-05,5.867881587406103e-05,-7.88790907002818e-05,1.3550212198831029e-05,1.0397309758459363e-05,-1.3983845710817332e-06,-3.893488911719038e-05,5.7222856997163625e-05,-1.267895539029328e-06,5.37608021373201e-06
