Date,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,MSCI EM Value NR USD - MSCI EM Growth NR USD
2007-06-29,0.0015,0.000125
2008-06-30,0.00075,0.0005
2009-06-30,0.00015000000000000001,0.0005
2010-06-30,0.00075,0.00025
2011-06-30,0.000375,0.000125
2012-06-29,0.0015,0.000125
2013-06-28,0.0015,5e-05
2014-06-30,0.000375,0.000125
2015-06-30,0.0015,5e-05
2016-06-30,0.00015000000000000001,5e-05
2017-06-30,0.0015,0.000125
2018-06-29,0.000375,5e-05
2019-06-28,0.00075,0.0005
2020-06-30,0.0015,5e-05
2021-06-30,0.0015,0.000125
2022-06-30,0.0015,0.0005
2023-06-30,0.00015000000000000001,0.0005
2024-06-28,0.0015,0.0005
