Asset,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
Russell 1000 Value,1.0,0.4811329276599702,0.5566228988839482,0.5060314036058776,0.5478932266651743,0.5261183476779596,0.5604996373571866,0.5355360659098631,0.47664954843297186,0.3940573056839868,0.5019314783882612,0.4892516163284778,0.24991530795621816,0.3527273844234489,0.3880537739989273,0.2860055330264669,0.5067557215602606
Russell 1000 Growth,0.4811329276599702,1.0,0.43556063108010123,0.509137960181093,0.3943621003288701,0.5303599752509948,0.43857378080556175,0.5169297703180386,0.3755074786901679,0.38572169372967635,0.4130497689745655,0.4567373910609656,0.3503194518528995,0.3914009916584187,0.4477841562941293,0.33775282633459114,0.46433493304840673
Russell 2000 Value,0.5566228988839482,0.4355606310801013,1.0,0.5416891065898916,0.5216115813329697,0.4718903703022808,0.5392819200782307,0.5054972201587585,0.47599953219025637,0.3935263096482797,0.49939654562993674,0.485876018026527,0.21507860891826527,0.3124845299598348,0.3412853078222618,0.26419305514150976,0.4875785441405899
Russell 2000 Growth,0.5060314036058776,0.509137960181093,0.5416891065898914,1.0,0.442799546506737,0.5024864153536046,0.485663538196564,0.5267952199623944,0.4315187688896668,0.4077171203411128,0.454368448713217,0.4757646703438894,0.2875362293208177,0.34597671587196877,0.3712982859349018,0.3130638584114731,0.4856510574911844
MSCI World Ex USA Value NR USD,0.5478932266651741,0.3943621003288701,0.5216115813329697,0.442799546506737,1.0,0.4986836795198503,0.5782369169679467,0.5067014190031796,0.5155859683594713,0.4075566865101673,0.518804757318962,0.489196938642191,0.231698206700527,0.35355675970855616,0.344928979208347,0.28644749223242677,0.5022355591112388
MSCI World Ex USA Growth NR USD,0.5261183476779596,0.5303599752509947,0.47189037030228076,0.5024864153536045,0.49868367951985026,1.0,0.5287891466201183,0.5756360246067664,0.469724677297651,0.4449136842898208,0.46637247576963686,0.49008417330002796,0.4021956270414282,0.47384438502658005,0.4863262057237235,0.41784629720653604,0.5147846612694242
MSCI World Ex USA Small Value NR USD,0.5604996373571866,0.4385737808055618,0.5392819200782307,0.485663538196564,0.5782369169679467,0.5287891466201183,1.0,0.5583231702647763,0.5182453092728194,0.43334434647113734,0.5396027833775937,0.5203568580843236,0.27761668134488515,0.39258411256439696,0.39650474757831156,0.32179668970900854,0.5356862488887717
MSCI World Ex USA Small Growth NR USD,0.5355360659098631,0.5169297703180384,0.5054972201587585,0.5267952199623944,0.5067014190031796,0.5756360246067664,0.5583231702647763,1.0,0.4811402126357876,0.455063298728186,0.5019145395884487,0.5204061058390811,0.3640158618764639,0.44592533715570715,0.45894461696859956,0.38719950461587466,0.5390837069701949
MSCI EM Value NR USD,0.47664954843297186,0.3755074786901679,0.4759995321902564,0.4315187688896668,0.5155859683594713,0.46972467729765105,0.5182453092728194,0.48114021263578766,1.0000000000000002,0.5413914845952412,0.5539982208020328,0.5455433819008594,0.25825564053468847,0.3937709045769081,0.3521892947122159,0.311504634100284,0.4948127109290894
MSCI EM Growth NR USD,0.3940573056839868,0.38572169372967635,0.39352630964827967,0.40771712034111274,0.4075566865101673,0.4449136842898208,0.43334434647113734,0.455063298728186,0.5413914845952411,1.0,0.4795844389152768,0.5095840462619614,0.3256753834077714,0.4296202268999985,0.3791009060358164,0.3680863396659778,0.46959536294027704
MSCI EM Small Value NR USD,0.5019314783882612,0.4130497689745656,0.4993965456299367,0.454368448713217,0.518804757318962,0.46637247576963686,0.5396027833775937,0.5019145395884487,0.5539982208020328,0.47958443891527686,1.0,0.5812289559899086,0.2087035071867508,0.338428611366037,0.33100895289499194,0.27276199434559867,0.5273819915933963
MSCI EM Small Growth NR USD,0.4892516163284778,0.4567373910609656,0.485876018026527,0.4757646703438894,0.48919693864219094,0.49008417330002796,0.5203568580843236,0.5204061058390811,0.5455433819008594,0.5095840462619614,0.5812289559899088,1.0000000000000002,0.25895452296751176,0.3725853447042688,0.37226884107717534,0.31302868873811895,0.5319201755709669
