Asset,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
Russell 1000 Value,0.03471159373148908,0.01844071937583527,0.0257357377114018,0.02278776089330648,0.019814848986569752,0.017806091240609286,0.021370185269451572,0.020636439918007426,0.016421240555878354,0.01462112449429585,0.018900171034967696,0.019032624584599225,0.0029044980190243664,0.005914716765116236,0.007409509794205972,0.003442592579539859,0.010233807595453788
Russell 1000 Growth,0.01844071937583527,0.04232052081405582,0.02223629341849017,0.025316163248334224,0.015748102435730577,0.01981956477245593,0.018463491928836985,0.02199458755479012,0.014284452293062714,0.01580278681308404,0.017173622392429148,0.019618744161385104,0.004495527963285805,0.007246944262637757,0.009440706862132395,0.004488987643694379,0.010354000210497412
Russell 2000 Value,0.0257357377114018,0.02223629341849017,0.06158522774761266,0.03249191326923636,0.02512714000789526,0.02127292753580476,0.027387337304211654,0.02594572579574078,0.0218431014063526,0.019448950150819884,0.02504769890306382,0.025176356212175496,0.0033294802552985706,0.006979499738263666,0.008679928670926882,0.004235781890365127,0.013115479467803233
Russell 2000 Growth,0.02278776089330648,0.025316163248334224,0.03249191326923636,0.05842164949551583,0.02077550710091454,0.022062722493472103,0.024022493315428342,0.026335253879454075,0.019286618841240086,0.01962591754760063,0.02219622394656427,0.024010888516932442,0.004335312715768173,0.00752646899501642,0.00919750726687475,0.0048887041644391825,0.012723674661260431
MSCI World Ex USA Value NR USD,0.019814848986569752,0.015748102435730577,0.02512714000789526,0.02077550710091454,0.037680366344654194,0.01758452264727921,0.02296989700709963,0.020343161890387398,0.018506664334022305,0.01575540949672598,0.0203538013805848,0.019827612559186275,0.0028055704566427577,0.006176951635360103,0.006861949685218128,0.0035923322649241522,0.010567355701960632
MSCI World Ex USA Growth NR USD,0.017806091240609286,0.01981956477245593,0.02127292753580476,0.022062722493472103,0.01758452264727921,0.03299861708458357,0.019657400082915322,0.02162741488563636,0.01577831952876096,0.016095621392582884,0.017122406582430017,0.018588642826666807,0.0045574946041000795,0.007747134682333624,0.009053902845838235,0.0049038631731250235,0.010136190814737695
MSCI World Ex USA Small Value NR USD,0.021370185269451572,0.018463491928836985,0.027387337304211654,0.024022493315428342,0.02296989700709963,0.019657400082915322,0.0418785222602419,0.023631435405077113,0.019611036788855025,0.017660903750182123,0.02231792838281662,0.022234434700375883,0.0035439058989198326,0.007230792387547092,0.008315806092535153,0.004254525811332105,0.011882490675371865
MSCI World Ex USA Small Growth NR USD,0.020636439918007426,0.02199458755479012,0.02594572579574078,0.026335253879454075,0.020343161890387398,0.02162741488563636,0.023631435405077113,0.042777712056946554,0.018401360446595457,0.01874410470009286,0.020980825763999535,0.02247399578048534,0.004696453575444792,0.008300961954657895,0.009728129530481041,0.005173893508867261,0.012085546459817428
MSCI EM Value NR USD,0.016421240555878354,0.014284452293062714,0.0218431014063526,0.019286618841240086,0.018506664334022305,0.01577831952876096,0.019611036788855025,0.018401360446595457,0.03419314125174046,0.019937239921304042,0.02070436399783215,0.02106337340878242,0.0029789297714422625,0.006553459518669461,0.006674303307747646,0.003721413495386243,0.009917715759360615
MSCI EM Growth NR USD,0.01462112449429585,0.01580278681308404,0.019448950150819884,0.01962591754760063,0.01575540949672598,0.016095621392582884,0.017660903750182123,0.01874410470009286,0.019937239921304042,0.03966141721594098,0.019303373841756344,0.021189908062575327,0.00404585204170464,0.007700631333682486,0.007737474390744861,0.004735956785571339,0.01013699480344434
MSCI EM Small Value NR USD,0.018900171034967696,0.017173622392429148,0.02504769890306382,0.02219622394656427,0.0203538013805848,0.017122406582430017,0.02231792838281662,0.020980825763999535,0.02070436399783215,0.019303373841756344,0.0408477414216573,0.024527901946128035,0.0026312052097202895,0.0061561415012842445,0.006856209072205858,0.00356157256734047,0.01155342181707278
MSCI EM Small Growth NR USD,0.019032624584599225,0.019618744161385104,0.025176356212175496,0.024010888516932442,0.019827612559186275,0.018588642826666807,0.022234434700375883,0.02247399578048534,0.02106337340878242,0.021189908062575327,0.024527901946128035,0.043597167111175714,0.003372823266063491,0.007001843525342465,0.007966106537176592,0.004222670491453576,0.012038625599799171
Bloomberg Barclays US Aggregate,0.0029044980190243664,0.004495527963285805,0.0033294802552985706,0.004335312715768173,0.0028055704566427577,0.0045574946041000795,0.0035439058989198326,0.004696453575444792,0.0029789297714422625,0.00404585204170464,0.0026312052097202895,0.003372823266063491,0.0038911851683630276,0.002986973787700929,0.003242574176456837,0.002058597430532507,0.002348246096886822
Bloomberg Barclays Global Aggregate x USD,0.005914716765116236,0.007246944262637757,0.006979499738263666,0.00752646899501642,0.006176951635360103,0.007747134682333624,0.007230792387547092,0.008300961954657895,0.006553459518669461,0.007700631333682486,0.0061561415012842445,0.007001843525342465,0.002986973787700929,0.00810055910634087,0.005065865863359422,0.0028679069845128193,0.004373372363497026
Bloomberg Barclays Global Inflation-Linked USD,0.007409509794205972,0.009440706862132395,0.008679928670926882,0.00919750726687475,0.006861949685218128,0.009053902845838235,0.008315806092535153,0.009728129530481041,0.006674303307747646,0.007737474390744861,0.006856209072205858,0.007966106537176592,0.003242574176456837,0.005065865863359422,0.010503174374944541,0.0031164264483827114,0.004926645736625385
Bloomberg Barclays US Municipal Bond,0.003442592579539859,0.004488987643694379,0.004235781890365127,0.0048887041644391825,0.0035923322649241522,0.0049038631731250235,0.004254525811332105,0.005173893508867261,0.003721413495386243,0.004735956785571339,0.00356157256734047,0.004222670491453576,0.002058597430532507,0.0028679069845128193,0.0031164264483827114,0.004173955671710211,0.0028983779936738686
