Date,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
2007-06-29,-7.320246912843886e-05,5.162101152422771e-06,-8.070711004261842e-05,5.953072764307461e-05,-0.000173992329146902,-0.00039586370153986417,-0.00016421474445354328,-0.00010854562361930879,-0.0001843175326040683,0.00044769611184740377,-4.3528066613924155e-05,-9.9872238429893e-05,0.0004621828320176269,-0.01999999999999999,0.02,0.0005768297605238046,-0.00022715771760583106
2008-06-30,1.6892563003814698e-05,-1.0259926415387421e-05,4.558438527093103e-06,-4.102310906866843e-06,-6.379844891407638e-07,4.366676383302237e-06,2.8448193897922386e-06,-2.4716061608337503e-06,0.0005330672869823007,-0.0005376391936162406,2.870542839368377e-06,-2.350310715863984e-06,5.369399662957797e-05,-0.014814210469219102,0.014802739117268131,-5.586117767198209e-05,6.499538171967148e-06
2009-06-30,-1.477054120360699e-06,8.286910277793824e-06,-4.969921925525138e-06,-9.378192045161882e-07,-4.615972949026381e-06,1.1758117798854606e-08,-2.159026981059589e-06,2.401035121973871e-07,3.972905658679651e-05,-3.8811815661812105e-05,-1.1406209923904911e-06,-8.853424431050708e-07,-1.3670686897226947e-05,-0.00016307842251356286,0.00017049073697648215,-8.228675256929247e-06,2.1216793474486753e-05
2010-06-30,2.825562602504217e-07,2.0617459781380187e-06,-1.4284536292690636e-06,7.688724082471551e-06,-5.046804238753588e-06,-6.018753415520939e-07,-8.329961838048072e-07,2.99031685647988e-06,7.946268284757599e-05,-8.079944640464881e-05,-4.954409539240784e-07,-1.3326045593688683e-06,-2.9341833518797822e-05,-0.0013055767036829757,0.0013356681061619906,6.654181536190629e-06,-9.352155210067686e-06
2011-06-30,8.623564799886685e-07,6.055262657678195e-07,-1.096600420018301e-08,3.942083002608093e-06,-2.619274482529299e-06,-1.026317710733915e-06,-1.0764460016392946e-06,1.1906050462456158e-06,9.38937828328136e-05,-9.301887449722143e-05,-4.1539180397915515e-08,-1.8658029005014926e-06,-1.9914187560726715e-05,-0.0012174524182340107,0.0012400812113604817,-2.0204649423503918e-06,-1.5292734735841695e-06
2012-06-29,3.348018283028109e-07,-4.179244032898044e-06,-3.3981118384082687e-07,-4.5639398266877906e-07,2.3118899483698385e-07,9.756748582112618e-07,3.9016807927734487e-07,1.8263792457059308e-06,4.741240423938864e-05,-4.839611612697178e-05,-9.283424124693386e-07,4.977048919667555e-07,-6.867393290382884e-05,-0.012450315905116749,0.012461354677579063,6.154772181960616e-05,-1.2809757769099983e-06
2013-06-28,8.907897191406944e-07,-1.6708461081371695e-07,2.88388099116757e-06,-7.637353766822702e-07,-1.3439902298156836e-06,-1.1523525301482263e-06,-2.7012102654169756e-06,-1.3701716725499774e-06,-4.712463629034935e-06,6.953145568974056e-06,1.4180429956673485e-06,-2.1113663858981363e-06,-7.75623878920273e-05,-0.00942174591045769,0.00943629616252957,6.682419059900885e-05,-1.6355393534228657e-06
2014-06-30,-4.4673292053099e-06,1.058933861237954e-05,4.744751548775572e-08,1.0329589866346633e-06,-2.239967513320562e-06,9.586323052174217e-07,3.23330333568822e-06,9.804179250394451e-07,0.00014220311014518164,-0.00014778121272069136,3.1408369808973505e-06,-3.5121067618352694e-07,7.393925055204642e-05,-0.007599065276183148,0.007581193837381584,-5.4660658206369395e-05,-8.753479235158734e-06
2015-06-30,-0.00012632341593754592,0.00022563375325446167,-4.594068452038608e-05,8.167000872313229e-05,-0.00011650235677403142,2.3747387551217858e-05,-0.0002967621397544813,-0.0005138184671303735,-0.00015840632173609592,-4.568577721588904e-05,8.692713267723085e-05,0.0002427406133289462,-0.00018694250487555353,-0.01999999999999999,0.019999999999999993,0.0014446605834179324,-0.0006149978110085406
2016-06-30,7.552600069821169e-06,-9.204945101495832e-06,-2.6250319080725615e-06,1.406455447140742e-06,4.383782143138615e-06,4.730306305628096e-06,-4.2569298357129914e-06,-9.016563341825157e-07,-0.0001736716300046251,0.00017080837612002894,2.2147625999505843e-06,9.023414740969363e-08,8.648842060005046e-06,-0.0022585529329248732,0.0022545721265395495,-4.047396078505142e-06,-1.146963245116095e-06
