Date,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
2007-06-29,-0.00011878363946724576,-9.272601072082742e-05,-0.00014393376907283532,-0.00014021290752222964,-0.00016476767798745892,-0.00016662615554758391,-0.00013441959089836367,-0.00015885350558022523,-0.00015810853704912624,-9.457410348425622e-05,-0.0001618675950988659,-0.00016735780822831308,4.433500100819797e-05,-0.00027091072662553797,0.0001484560284299924,4.789836915293805e-05,-3.536759526056625e-05
2008-06-30,-1.2182848150219305e-05,-1.6673818124067334e-05,-3.3886257155309864e-05,-4.273448286568846e-05,-3.542846800056248e-05,-3.721412030811591e-05,-4.489431086164683e-05,-5.089984629215458e-05,-3.0361122800394378e-05,-5.055478068425314e-05,-5.3962176689848045e-05,-6.576764612623115e-05,1.2299188802142393e-05,-9.61500780315384e-05,4.910493420509628e-05,1.6036034001462003e-05,-1.0720173615100436e-05
2009-06-30,-9.254357946657184e-07,1.4182130651866114e-06,-7.94979436577259e-07,8.417735918358456e-07,-1.999247543506974e-07,8.876749560883667e-07,3.8533361353782034e-07,1.549052678676803e-06,-5.3642249423436585e-06,9.273708446103167e-06,1.0954932721571893e-06,2.0676327367670574e-06,-3.213702809974775e-07,-1.6163319326999464e-06,-1.318975203616392e-07,-1.61664885146041e-07,3.7031933366749406e-07
2010-06-30,-1.064902893283632e-06,-3.080856129935454e-06,-1.36027068378979e-06,-3.1305117393212176e-06,-2.0478009792806266e-06,-3.062935936274774e-06,-2.636471344347651e-06,-3.95323173680216e-06,9.886249962214972e-07,-1.0325548839615855e-05,-4.0131051590303224e-06,-4.9270941441121825e-06,2.6210379936516126e-07,2.950473504485618e-06,-2.997935075553461e-06,-1.2486833672962461e-08,-2.3147682392390043e-06
2011-06-30,1.6994264767815273e-06,3.4204125838203666e-07,1.924303027954758e-06,1.162521464876239e-06,8.583814819139701e-07,1.4936155045113263e-07,1.0172890730183394e-06,1.9222386434437295e-08,6.958692698119905e-06,-6.817894491247819e-06,4.738413297439283e-07,3.155775324771506e-07,3.714175089912045e-07,-2.5098163153378112e-06,3.7328877776312664e-06,2.1670384660120382e-07,1.5751895738164033e-06
2012-06-29,3.764053094196569e-05,5.2576108673041004e-05,4.5415675594168775e-05,6.651353263180295e-05,3.677817660076991e-05,4.605982221690311e-05,4.7848473713124317e-05,5.978226798460513e-05,7.098040286421826e-05,6.64727596083016e-05,6.890560673412127e-05,8.26770482973059e-05,1.53002004386441e-06,-7.116116255945127e-05,8.554170325483125e-05,5.6769198730404215e-06,5.825484746460046e-05
2013-06-28,2.4191234549666808e-05,3.232660653593196e-05,2.8487695258867754e-05,3.9850388887961316e-05,2.492108174562843e-05,3.0205203058539702e-05,3.221702635295951e-05,3.776762649132302e-05,3.813250005613521e-05,4.343738427911575e-05,4.167563078835688e-05,5.0692895118215743e-05,6.978211632504875e-07,-4.4168329365994684e-05,5.618348753167981e-05,3.2741649452577307e-06,3.578054241441075e-05
2014-06-30,-1.6868707924061845e-05,-1.5339253278367416e-05,-1.4177228097191898e-05,-1.4639718772913786e-05,-1.9997415666477924e-05,-1.9327706130845897e-05,-2.0519697942514056e-05,-2.2804537225269306e-05,-1.1689098278919172e-05,-2.7416600085605654e-05,-1.355527229883935e-05,-1.0080592728491604e-05,-1.1260124184574821e-06,-5.868233905213585e-05,2.829669549094046e-05,1.5354995741768963e-07,-5.592648608903448e-06
2015-06-30,-9.519938963923095e-05,-7.052211586249664e-05,-0.00011373600871921655,-0.00010454375695298292,-0.0001431578664331128,-0.00011761056295710619,-0.00017058410714483678,-0.00017971181547448293,-0.00015162946938070945,-0.00013460345614650917,-0.00011351777545441501,-8.440434856977687e-05,2.164739412396797e-05,-0.00030309447604438014,0.00013904656396400094,3.671118398156527e-05,-6.13907997346086e-05
2016-06-30,-2.8624936631626433e-08,3.4709106042011153e-06,5.664600342922208e-07,4.383538096258963e-06,-5.2755524738102935e-06,-4.099798545089762e-07,-8.466930895249968e-06,-5.2943394236612505e-06,-2.164745677154643e-05,-8.798377940815898e-07,-1.0387287265293822e-05,-3.965012172601867e-06,9.450434082756758e-07,-1.590745175820275e-05,4.032345700737435e-06,1.557117062300935e-06,-3.2366402848201745e-06
2017-06-30,3.8871352253050826e-05,4.670481794568514e-05,7.756171896975774e-05,8.372348690978061e-05,4.0856393359023065e-05,1.7771592480767426e-05,-1.1866385697844896e-05,-2.0058671841136184e-05,-5.820027634981484e-05,-2.051885285719275e-06,-2.902952046432515e-05,7.86007448488563e-06,1.962883781516859e-06,-0.000181468173412103,8.53782735212142e-05,6.213011036823749e-06,-4.179993823417419e-06
2018-06-29,4.208005255989484e-06,5.9823898849344085e-06,1.529956457399841e-05,1.6793951195191653e-05,2.2230364533127088e-08,-8.587289741406672e-08,-8.135409422217135e-06,-5.447965859560865e-06,-2.085787826046223e-05,-4.4404882106863875e-06,-1.1168857617549995e-05,-2.3408825606271853e-06,1.826777140230756e-06,-3.580456459517108e-05,1.2560671118784577e-05,2.5083339634645025e-06,-3.198043212761942e-06
2019-06-28,2.036458344968686e-05,5.6180253901057345e-06,3.2626752812736596e-05,1.9409572314645135e-05,1.9598017040699067e-05,-5.18217958008804e-06,-8.802069715673015e-06,-2.442846645390583e-05,3.5876915483410017e-06,-4.725660602785362e-05,-2.379790547758469e-05,-2.5371566483050306e-05,-4.877626682205014e-06,-9.178825381223541e-05,3.381567873139234e-05,-1.0214541416974366e-05,1.2929028657589062e-06
2020-06-30,6.655447781098407e-05,6.123951991939122e-05,0.00011191473375860573,0.00010738862360908577,4.622333331772113e-05,2.6186671724095854e-05,3.243091356546944e-05,3.290357540182201e-05,-2.6683061846757474e-05,-1.378175288154125e-05,-1.090924155042037e-05,7.523885508489334e-06,-1.767053543740408e-06,-0.00019145904221542953,0.0001410518254909372,-1.1791297230435062e-06,2.3844925306454465e-05
2021-06-30,4.9301429568326956e-05,2.816209310509732e-05,8.458709616547017e-05,4.713533639597315e-05,3.6811112769759924e-05,1.0342129457264328e-05,3.6618276252397864e-05,2.2740289890184624e-05,-1.9364132901543824e-05,-2.410797531473861e-05,3.7913416280738437e-06,7.432804949015927e-06,-1.8382838327244987e-06,-0.00018073992915819517,0.00015943906805643193,2.5188539664341216e-06,2.1076709335353235e-05
2022-06-30,3.8342500230226856e-05,4.717316690006016e-05,4.107701960784943e-05,2.9427553049167407e-05,1.817053978535681e-05,3.2479539752693046e-05,3.36536372032586e-05,3.584583486268219e-05,-5.606436822397932e-06,-4.035751207037366e-05,1.7701186678124414e-05,2.1866753323792005e-05,1.6460176972505171e-06,-0.0001117785504758709,0.00013161776538406702,5.606265777069299e-06,1.3591411494523486e-05
2023-06-30,2.5320893001661443e-05,-6.999852752084087e-05,2.545805144754246e-05,-4.5802354965282075e-05,5.657532610128633e-05,-2.654656658226136e-05,3.0359270825801847e-05,-3.488166157918684e-05,4.830289487983004e-05,-0.00016000308165097752,1.3652525891546806e-05,-2.936022074722711e-05,-2.715066249997852e-05,-1.6886961301608774e-05,-4.436390499458781e-05,-2.3615077659378094e-05,-9.282230576401576e-06
2024-06-28,7.796545671334687e-06,-7.927467707979964e-05,1.642260931023951e-05,-4.2564369988932735e-05,4.55785084894798e-05,-3.441894037326758e-05,1.9691280691758802e-05,-3.750744341991847e-05,4.3784165958213825e-05,-0.00011864713877935618,1.5817574328026673e-05,-2.305133780337195e-05,-2.8644158867004386e-05,3.1913282447061356e-06,-8.172660982802632e-05,-2.7352972989305044e-05,-1.6424775701656134e-05
