Asset,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
Russell 1000 Value,0.9999999999999999,0.7511612279074539,0.8769253149500333,0.7963561554161844,0.852383180478063,0.8148159843367818,0.8748063752191492,0.8363537886451266,0.739137733527897,0.6140356770849837,0.7828231972140112,0.7644789975914292,0.3117179514233688,0.4940521434277252,0.5591850169532306,0.3616464398893427,0.7379825796077449
Russell 1000 Growth,0.7511612279074538,1.0,0.6905015740239848,0.8062688217759677,0.6173744138430061,0.826535192970505,0.6888010239355337,0.8123578186763621,0.5859482949158252,0.6048153473278373,0.648240488112024,0.718148689398154,0.4396911490473565,0.5516581610932628,0.6493021691289834,0.42975730444361776,0.6804454638858057
Russell 2000 Value,0.8769253149500332,0.6905015740239848,1.0,0.8656213216199073,0.8240131393590662,0.742104694369366,0.8546738871890464,0.8016190838071221,0.7495156152243964,0.6226671671375601,0.7908839438212217,0.7709154055921523,0.2724044168719358,0.44443689317278556,0.4993777388899001,0.33921818620466043,0.7210078731155505
Russell 2000 Growth,0.7963561554161845,0.8062688217759677,0.8656213216199073,1.0000000000000002,0.6987509511383625,0.7893629210821994,0.7688620186520458,0.8344867300191571,0.6787380286337406,0.6444206887961599,0.7187928103427992,0.7540528451226788,0.3637791741669164,0.49153764724272264,0.5427038015082095,0.4015309231721189,0.7173780642078132
MSCI World Ex USA Value NR USD,0.852383180478063,0.6173744138430061,0.8240131393590662,0.6987509511383626,1.0,0.7744379389799622,0.9049566826999959,0.7934851400474785,0.801701415259711,0.636806690205118,0.8113506267294985,0.7664827632561029,0.2897857329728149,0.49656731215966865,0.49840073097637255,0.36319524695586997,0.733398944158275
MSCI World Ex USA Growth NR USD,0.8148159843367819,0.8265351929705049,0.742104694369366,0.7893629210821994,0.7744379389799622,1.0,0.8238376987403842,0.8973705138174172,0.7270965600820507,0.6920420928537011,0.7260636425870756,0.7644102334486423,0.5007590702850044,0.6625091393952165,0.699542028732912,0.5274105858301552,0.7483341640079029
MSCI World Ex USA Small Value NR USD,0.8748063752191492,0.6888010239355337,0.8546738871890464,0.768862018652046,0.9049566826999959,0.8238376987403843,1.0,0.8771421725315566,0.8084340630271569,0.6792824481832876,0.8465965040386887,0.8179327702264133,0.3483353494044519,0.5531582146035825,0.5747712578987986,0.4093307465587716,0.7847674541621898
MSCI World Ex USA Small Growth NR USD,0.8363537886451266,0.8123578186763621,0.801619083807122,0.8344867300191571,0.7934851400474785,0.8973705138174171,0.8771421725315566,0.9999999999999999,0.7510097602633145,0.713762570679532,0.7879465666152935,0.8185089081586724,0.4570218885236429,0.6287000525244864,0.6656893860262058,0.4928244995930407,0.7902261423354863
MSCI EM Value NR USD,0.7391377335278971,0.5859482949158252,0.7495156152243964,0.6787380286337406,0.801701415259711,0.7270965600820507,0.808434063027157,0.7510097602633145,1.0,0.8431760522245911,0.8635753636148303,0.8519913820679241,0.32195219566747063,0.5512515884321862,0.5072387063935142,0.3936832086983981,0.7202129359184745
MSCI EM Growth NR USD,0.6140356770849837,0.6048153473278373,0.62266716713756,0.6444206887961599,0.636806690205118,0.6920420928537011,0.6792824481832876,0.713762570679532,0.8431760522245911,0.9999999999999999,0.7512162800597141,0.7997049185476274,0.4079759314630731,0.6043645535263662,0.5486546847092528,0.46745532800004624,0.6868341869583751
MSCI EM Small Value NR USD,0.7828231972140112,0.6482404881120241,0.7908839438212216,0.7187928103427993,0.8113506267294985,0.7260636425870756,0.8465965040386887,0.7879465666152935,0.8635753636148303,0.7512162800597141,1.0,0.9129483704703709,0.26167629873844533,0.47650379956750233,0.4794783932476309,0.346704359494065,0.7720375636517384
MSCI EM Small Growth NR USD,0.7644789975914292,0.7181486893981539,0.7709154055921523,0.7540528451226789,0.766482763256103,0.7644102334486423,0.8179327702264134,0.8185089081586723,0.8519913820679242,0.7997049185476273,0.9129483704703709,1.0,0.3252910977059435,0.5255803265995354,0.5402565292716324,0.39863334458614613,0.7801419561971124
