Asset,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
Russell 1000 Value,0.033957844072490924,0.02798961868249791,0.03906211413849957,0.03458762779435747,0.03007529457403537,0.027026369952980515,0.032436008849529525,0.031322318424638125,0.024924421443932226,0.02219217650700433,0.028686981756034464,0.028888021871215003,0.004408493527811754,0.008977451665335718,0.01124627242231243,0.00522522205434044,0.015533036777413037
Russell 1000 Growth,0.02798961868249791,0.040887214774906755,0.03375060164470872,0.038425277310671455,0.023902721643637083,0.03008245226924522,0.02802418322751128,0.03338373662060595,0.021681170057556313,0.02398572246582946,0.026066398623862085,0.029777643535220208,0.006823384213186467,0.010999527859544753,0.01432925580498718,0.006813457211549773,0.015715467050059106
Russell 2000 Value,0.03906211413849957,0.03375060164470872,0.05843138287738045,0.049316745411919535,0.0381383748143974,0.032288389506530055,0.04156893840477485,0.0393808374100124,0.033153808522681384,0.029519927471468376,0.038017797835450354,0.038213075956078923,0.0050535383602675595,0.010593596284784061,0.013174534503728925,0.006429137471117771,0.019906884414877413
Russell 2000 Growth,0.03458762779435747,0.038425277310671455,0.049316745411919535,0.05555034508887205,0.03153339681813723,0.033487152919818394,0.03646172440446017,0.039972069362901735,0.029273538414579255,0.02978853141549987,0.033689783559624424,0.03644411045577586,0.006580206949125018,0.011423794967142428,0.01396012357124584,0.007420153337049219,0.019312196815679233
MSCI World Ex USA Value NR USD,0.03007529457403537,0.023902721643637083,0.0381383748143974,0.03153339681813723,0.036661474393109184,0.026690069599782106,0.03486407689970325,0.03087717634564762,0.028089710994303657,0.02391381241763471,0.030893325133963964,0.030094667328605405,0.004258339692062878,0.009375475943770232,0.010415176934985624,0.005452499342721915,0.016039301425940226
MSCI World Ex USA Growth NR USD,0.027026369952980515,0.03008245226924522,0.032288389506530055,0.033487152919818394,0.026690069599782106,0.03239785406835682,0.029836316110915348,0.032826436073333604,0.023948585630522667,0.024430191472172173,0.025988662448652486,0.02821413926103887,0.006917438171282028,0.011758724875159651,0.013742158485176582,0.0074431619227813646,0.015384872467031692
MSCI World Ex USA Small Value NR USD,0.032436008849529525,0.02802418322751128,0.04156893840477485,0.03646172440446017,0.03486407689970325,0.029836316110915348,0.04048469129215113,0.035868170456242264,0.02976594516197543,0.026806002058881437,0.03387450849867077,0.03374778045263932,0.005378997030202797,0.0109750122853103,0.012621863432977337,0.006457587294022623,0.018035434313794556
MSCI World Ex USA Small Growth NR USD,0.031322318424638125,0.03338373662060595,0.0393808374100124,0.039972069362901735,0.03087717634564762,0.032826436073333604,0.035868170456242264,0.04130357408148319,0.027929879070462085,0.028450101777911387,0.031845032767420206,0.03411139008991938,0.00712835231954174,0.012599332763192334,0.014765510526065288,0.007853018283376291,0.0183436356297017
MSCI EM Value NR USD,0.024924421443932226,0.021681170057556313,0.033153808522681384,0.029273538414579255,0.028089710994303657,0.023948585630522667,0.02976594516197543,0.027929879070462085,0.033485694795098594,0.030261061491452718,0.031425414678906,0.03197032490237015,0.004521467231580436,0.00994694562833106,0.01013036426333718,0.005648420897953427,0.015053267535195071
MSCI EM Growth NR USD,0.02219217650700433,0.02398572246582946,0.029519927471468376,0.02978853141549987,0.02391381241763471,0.024430191472172173,0.026806002058881437,0.028450101777911387,0.030261061491452718,0.03846559680334251,0.029298969422226907,0.03216238122282077,0.006140858910391028,0.011688141349122685,0.01174406233014606,0.007188310923414078,0.015386092773944097
