Date,Asset,Annualized Volatility
2024-06-28,Russell 1000 Value,0.1842765423826129
2024-06-28,Russell 1000 Growth,0.20220587225623976
2024-06-28,Russell 2000 Value,0.24172584238632916
2024-06-28,Russell 2000 Growth,0.2356912070673661
2024-06-28,MSCI World Ex USA Value NR USD,0.1914718631891098
2024-06-28,MSCI World Ex USA Growth NR USD,0.17999403898006405
2024-06-28,MSCI World Ex USA Small Value NR USD,0.20120807958964057
2024-06-28,MSCI World Ex USA Small Growth NR USD,0.20323280759140044
2024-06-28,MSCI EM Value NR USD,0.18299096916268462
2024-06-28,MSCI EM Growth NR USD,0.19612648164728422
2024-06-28,MSCI EM Small Value NR USD,0.19886168537589982
2024-06-28,MSCI EM Small Growth NR USD,0.2050605843908104
2024-06-28,Bloomberg Barclays US Aggregate,0.07674645766822082
2024-06-28,Bloomberg Barclays Global Aggregate x USD,0.09860756461802755
2024-06-28,Bloomberg Barclays Global Inflation-Linked USD,0.10913976598490037
2024-06-28,Bloomberg Barclays US Municipal Bond,0.07840621734925446
2024-06-28,Bloomberg Barclays Global High Yield USD,0.11421948703075084
