Date,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
2007-06-29,-0.0003028754823633387,-0.00023871527415264654,-0.0003681738650901869,-0.00036059354178353273,-0.00041943472669169884,-0.00042528837268190266,-0.00034205483613388793,-0.000404511572447778,-0.0003825965003592023,-0.00026122283077084483,-0.00041037328072890687,-0.00042625235936914237,0.00011396052967402063,-0.0003444351806229547,3.540588070266321e-05,0.000123409134896348,-8.906898199842968e-05
2008-06-30,-3.321788249820298e-05,-3.891133161050925e-05,-8.780614021465584e-05,-0.00010615832465962972,-9.164246218350103e-05,-9.479721976884153e-05,-0.00011397866740282883,-0.00012765801057115127,-9.850420518590882e-05,-0.00010065353968226203,-0.0001367097672308379,-0.00016478028447925637,3.119796012487487e-05,-0.00012186756418408552,-7.224480758505425e-06,3.945114881706784e-05,-2.9111108395507752e-05
2009-06-30,-6.724491128898069e-05,-6.758021138891558e-05,-6.594725362723679e-05,-7.706450303384307e-05,-6.918447554196351e-05,-6.886532348522702e-05,-7.781495163251514e-05,-7.96734789684728e-05,-0.00010084601917766142,-8.901115837191795e-05,-9.329592124508438e-05,-0.00010185789953721355,-1.1082476592419755e-05,-2.9411960833731063e-06,-5.1726170352535056e-05,-1.621273234919253e-05,-8.209802696609463e-05
2010-06-30,-0.00021315537434295282,-0.00029036239170223934,-0.00024470765384046694,-0.00034649893087848913,-0.0002642304153989783,-0.0003060932482804148,-0.0003188296998660889,-0.0003767811330336175,-0.0004142663335719234,-0.0004528201962890513,-0.0004188103896082799,-0.0004772843765140235,-1.1345021828451545e-05,2.6987313022020384e-05,-0.00017315861349161626,-2.6506831248301135e-05,-0.00030463307176274696
2011-06-30,-7.659317850418915e-05,-0.00012060585987454669,-9.34392457542793e-05,-0.00014641916667522276,-8.77025550421455e-05,-0.00011720454655746872,-0.00011246950937579972,-0.00014778289087737328,-0.00015905660711261518,-0.00018558288378138987,-0.00016445071461268265,-0.00019684798615526825,-2.8922223751242716e-06,2.5928109353224836e-05,-6.63176974660655e-05,-1.1150899498809364e-05,-0.0001270635687932616
2012-06-29,-9.416087606282385e-05,-0.00013966467885429755,-0.00011387995605258307,-0.00017402981427090076,-9.331409672839833e-05,-0.00012396705596130138,-0.0001220695038156281,-0.0001599334524105516,-0.00017471351350651257,-0.0001916486743486965,-0.0001814813963274534,-0.0002211415022205981,-1.3623074797455713e-06,4.303213501750735e-05,-7.485111136729178e-05,-1.2358581302597732e-05,-0.0001489299401879179
2013-06-28,-0.00015357536702226705,-0.00020198714753591793,-0.00018189434345796524,-0.0002513164330287374,-0.00016041905021365417,-0.00019000975913763087,-0.00020730516128058047,-0.00023928844809541376,-0.00025272660052202446,-0.00026559967024274606,-0.00026607040308990583,-0.0003200098823529773,-5.4970835264846875e-06,5.181639784149329e-05,-0.00013090945329192894,-2.011153494503693e-05,-0.00022559946693839563
2014-06-30,-3.984610063706352e-05,-3.692968650611515e-05,-3.341287126816755e-05,-3.488659834105404e-05,-4.634422352253825e-05,-4.5728512652157806e-05,-4.695646800617003e-05,-5.292652447643701e-05,-3.601946734007461e-05,-5.436513798835625e-05,-3.1624996252490295e-05,-2.4564907769961116e-05,-2.556305440149688e-06,-6.86743320974264e-05,-1.354562129259801e-06,2.8953674078626587e-07,-1.310247365443538e-05
2015-06-30,-0.0002712412831772348,-0.00020112591704409447,-0.0003241876482761792,-0.0002981395715153283,-0.0004075280126716137,-0.0003350893703102798,-0.0004855971176018449,-0.0005117886938329734,-0.00042781915868474787,-0.0003867077396228964,-0.00032303221089035423,-0.00024038608737967314,6.160657598206402e-05,-0.00042305170361100905,-4.401563346666128e-05,0.00010452526875017548,-0.00017483925477935282
2016-06-30,-1.924716645681716e-06,3.6949717849103066e-06,-2.461795622473268e-07,5.359410700602712e-06,-1.2102141930584407e-05,-2.935642997898735e-06,-1.5679136927437606e-05,-9.627580472594206e-06,-3.367385953972863e-05,-1.1405565261748955e-05,-2.072757988893598e-05,-1.0081704696003523e-05,9.634782170145508e-07,-1.5491549122886425e-05,-4.5050582538701175e-06,1.7724572391204497e-06,-6.428036577554213e-06
2017-06-30,5.637699783863123e-05,7.026044433272439e-05,0.00011468150258092011,0.00012594060991077177,5.861503870888233e-05,2.608961380148284e-05,-2.060696721898377e-05,-3.126309246241089e-05,-8.586527090701593e-05,-1.3181068148930607e-05,-4.779902742296307e-05,9.748006195074709e-06,3.4023937343723224e-06,-0.00018340797369823607,3.677935319468677e-05,1.0354421297300216e-05,-7.676945809550217e-06
2018-06-29,5.034967366043376e-06,8.295307041323382e-06,2.0826879668546034e-05,2.371126808008249e-05,-1.31087350522091e-06,-4.0273406421432033e-07,-1.235182905842907e-05,-7.753638358097058e-06,-2.8933580984443493e-05,-9.730610770512078e-06,-1.7272464734573737e-05,-4.172446070151318e-06,2.7553943807447692e-06,-3.4867068022591686e-05,2.1759007922751084e-06,3.862185734140204e-06,-5.029765786643803e-06
2019-06-28,3.36743601136373e-05,1.0374437598967685e-05,5.4926665224661945e-05,3.4114783453589634e-05,3.1550047044685064e-05,-7.886481339702758e-06,-1.4628529559430125e-05,-3.904095104651439e-05,-1.4099401411190811e-05,-5.920690146529556e-05,-4.004914457350913e-05,-4.134676673840334e-05,-7.771073970030438e-06,-9.449569440464482e-05,-1.2494538994490406e-06,-1.634779523558977e-05,1.57121536190693e-06
2020-06-30,0.0001223427909010276,0.00011266084312505436,0.00020575215825915732,0.0001975222673980167,8.491783279297984e-05,4.8177603513776466e-05,5.95829037870037e-05,6.0543902694857265e-05,-4.903109427127718e-05,-2.548743297745975e-05,-2.0156058863360178e-05,1.382159530379603e-05,-3.2322148927859076e-06,-0.00012126757433522284,2.85856046795008e-05,-2.1504691817318893e-06,4.379911454419629e-05
2021-06-30,0.00012292777901496706,7.030523873290355e-05,0.00021096372213371152,0.0001176214386980214,9.172488420642594e-05,2.579270955658268e-05,9.127760636214096e-05,5.674677102121319e-05,-4.142822702901126e-05,-6.704658552196953e-05,9.375685026059837e-06,1.8531721937697983e-05,-4.5679914454336795e-06,-8.988203239099546e-05,3.6776642578947566e-05,6.299845306171305e-06,5.257345904312828e-05
2022-06-30,4.890726803406639e-05,5.651028324582225e-05,5.198383399989389e-05,3.483161413046988e-05,2.553996992821633e-05,4.0182613957771e-05,4.375910610167376e-05,4.400156563151378e-05,-1.1664619001754297e-05,-4.5859146048869866e-05,2.3593535528569548e-05,2.713922515574144e-05,1.4656465702240959e-06,-1.590839746018574e-05,3.9539453203949916e-05,6.528180035185483e-06,1.7028172106187165e-05
2023-06-30,-1.688535677135826e-05,-0.00021436245634914243,-2.6082052708102116e-05,-0.0001482777436118516,6.961370810956272e-05,-0.0001016058719269494,6.298012788832688e-06,-0.000122824163542435,8.237769357266045e-06,-0.00021269082208847287,-5.074894823794833e-06,-8.926311549091207e-05,-5.712920054234393e-05,-5.657250631763035e-05,-0.00010786789044097757,-5.176445455910073e-05,-4.022856359485556e-05
