Date,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,MSCI EM Value NR USD - MSCI EM Growth NR USD
2007-06-29,8.0,48.0
2008-06-30,16.0,12.0
2009-06-30,64.0,12.0
2010-06-30,16.0,24.0
2011-06-30,32.0,48.0
2012-06-29,8.0,48.0
2013-06-28,8.0,96.0
2014-06-30,32.0,48.0
2015-06-30,8.0,96.0
2016-06-30,64.0,96.0
2017-06-30,8.0,48.0
2018-06-29,32.0,96.0
2019-06-28,16.0,12.0
2020-06-30,8.0,96.0
2021-06-30,8.0,48.0
2022-06-30,8.0,12.0
2023-06-30,64.0,12.0
2024-06-28,8.0,12.0
