Asset,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
Russell 1000 Value,1.0,0.8018882127666169,0.9277048314732473,0.8433856726764627,0.9131553777752902,0.8768639127965991,0.9341660622619776,0.892560109849772,0.794415914054953,0.656762176139978,0.8365524639804354,0.815419360547463,0.4165255132603637,0.5878789740390815,0.6467562899982122,0.4766758883774449,0.8445928692671011
Russell 1000 Growth,0.8018882127666169,1.0,0.7259343851335022,0.8485632669684884,0.6572701672147835,0.8839332920849912,0.7309563013426029,0.8615496171967307,0.6258457978169464,0.6428694895494607,0.6884162816242759,0.7612289851016093,0.583865753088166,0.6523349860973645,0.7463069271568823,0.5629213772243187,0.7738915550806781
Russell 2000 Value,0.9277048314732472,0.7259343851335022,1.0,0.9028151776498192,0.8693526355549497,0.7864839505038014,0.8988032001303846,0.842495366931264,0.7933325536504272,0.655877182747133,0.8323275760498946,0.8097933633775449,0.35846434819710876,0.520807549933058,0.5688088463704364,0.44032175856918293,0.812630906900983
Russell 2000 Growth,0.8433856726764627,0.8485632669684885,0.9028151776498192,1.0,0.7379992441778949,0.8374773589226743,0.8094392303276067,0.8779920332706574,0.7191979481494447,0.6795285339018546,0.7572807478553617,0.7929411172398156,0.4792270488680295,0.5766278597866147,0.6188304765581695,0.5217730973524553,0.809418429151974
MSCI World Ex USA Value NR USD,0.9131553777752903,0.6572701672147835,0.8693526355549496,0.7379992441778949,1.0,0.8311394658664173,0.9637281949465777,0.8445023650052993,0.8593099472657857,0.6792611441836122,0.8646745955316033,0.8153282310703184,0.3861636778342117,0.589261266180927,0.5748816320139117,0.4774124870540447,0.8370592651853983
MSCI World Ex USA Growth NR USD,0.8768639127965993,0.8839332920849913,0.7864839505038014,0.8374773589226744,0.8311394658664172,1.0,0.8813152443668637,0.9593933743446106,0.7828744621627519,0.7415228071497013,0.7772874596160613,0.8168069555000467,0.670326045069047,0.7897406417109668,0.8105436762062059,0.6964104953442268,0.8579744354490405
MSCI World Ex USA Small Value NR USD,0.9341660622619777,0.730956301342603,0.8988032001303846,0.8094392303276067,0.9637281949465776,0.8813152443668636,1.0,0.9305386171079606,0.8637421821213657,0.7222405774518956,0.8993379722959898,0.8672614301405395,0.4626944689081419,0.6543068542739949,0.6608412459638526,0.5363278161816808,0.8928104148146196
MSCI World Ex USA Small Growth NR USD,0.8925601098497719,0.8615496171967307,0.842495366931264,0.8779920332706574,0.8445023650052993,0.9593933743446107,0.9305386171079605,0.9999999999999999,0.8019003543929794,0.7584388312136432,0.8365242326474145,0.8673435097318017,0.6066931031274397,0.7432088952595117,0.764907694947666,0.6453325076931244,0.8984728449503249
MSCI EM Value NR USD,0.794415914054953,0.6258457978169464,0.7933325536504273,0.7191979481494446,0.8593099472657857,0.7828744621627519,0.8637421821213657,0.8019003543929794,1.0000000000000002,0.9023191409920687,0.9233303680033882,0.9092389698347656,0.43042606755781415,0.6562848409615135,0.5869821578536932,0.51917439016714,0.8246878515484825
MSCI EM Growth NR USD,0.656762176139978,0.6428694895494607,0.6558771827471329,0.6795285339018545,0.6792611441836123,0.7415228071497013,0.7222405774518956,0.7584388312136432,0.9023191409920688,1.0,0.799307398192128,0.8493067437699358,0.542792305679619,0.7160337114999975,0.6318348433930274,0.6134772327766297,0.7826589382337952
