Asset,Russell 1000 Value,Russell 1000 Growth,Russell 2000 Value,Russell 2000 Growth,MSCI World Ex USA Value NR USD,MSCI World Ex USA Growth NR USD,MSCI World Ex USA Small Value NR USD,MSCI World Ex USA Small Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,MSCI EM Small Value NR USD,MSCI EM Small Growth NR USD,Bloomberg Barclays US Aggregate,Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays US Municipal Bond,Bloomberg Barclays Global High Yield USD
Russell 1000 Value,0.03471159373148908,0.030734532293058784,0.042892896185669674,0.037979601488844134,0.033024748310949585,0.029676818734348805,0.03561697544908596,0.03439406653001238,0.027368734259797252,0.024368540823826418,0.031500285058279495,0.031721040974332045,0.004840830031707278,0.009857861275193728,0.012349182990343287,0.005737654299233099,0.01705634599242298
Russell 1000 Growth,0.030734532293058784,0.04232052081405582,0.037060489030816955,0.042193605413890375,0.026246837392884297,0.03303260795409322,0.030772486548061643,0.0366576459246502,0.023807420488437855,0.026337978021806735,0.02862270398738191,0.03269790693564184,0.007492546605476344,0.012078240437729596,0.015734511436887328,0.007481646072823965,0.01725666701749569
Russell 2000 Value,0.042892896185669674,0.037060489030816955,0.06158522774761266,0.0541531887820606,0.04187856667982544,0.03545487922634127,0.045645562173686094,0.043242876326234636,0.036405169010587664,0.032414916918033145,0.0417461648384397,0.04196059368695916,0.005549133758830951,0.011632499563772776,0.014466547784878138,0.007059636483941879,0.02185913244633872
Russell 2000 Growth,0.037979601488844134,0.042193605413890375,0.0541531887820606,0.05842164949551583,0.034625845168190894,0.036771204155786844,0.04003748885904724,0.043892089799090137,0.032144364735400145,0.032709862579334385,0.036993706577607116,0.040018147528220735,0.007225521192946956,0.012544114991694033,0.015329178778124584,0.008147840274065305,0.021206124435434053
MSCI World Ex USA Value NR USD,0.033024748310949585,0.026246837392884297,0.04187856667982544,0.034625845168190894,0.037680366344654194,0.029307537745465354,0.03828316167849938,0.03390526981731233,0.030844440556703843,0.026259015827876635,0.03392300230097467,0.03304602093197713,0.004675950761071263,0.01029491939226684,0.011436582808696881,0.005987220441540254,0.017612259503267724
MSCI World Ex USA Growth NR USD,0.029676818734348805,0.03303260795409322,0.03545487922634127,0.036771204155786844,0.029307537745465354,0.03299861708458357,0.03276233347152553,0.0360456914760606,0.026297199214601608,0.026826035654304806,0.028537344304050027,0.030981071377778016,0.0075958243401668,0.012911891137222707,0.01508983807639706,0.008173105288541706,0.01689365135789616
MSCI World Ex USA Small Value NR USD,0.03561697544908596,0.030772486548061643,0.045645562173686094,0.04003748885904724,0.03828316167849938,0.03276233347152553,0.0418785222602419,0.039385725675128526,0.032685061314758374,0.029434839583636872,0.03719654730469437,0.03705739116729314,0.005906509831533055,0.012051320645911821,0.013859676820891923,0.007090876352220175,0.019804151125619777
MSCI World Ex USA Small Growth NR USD,0.03439406653001238,0.0366576459246502,0.043242876326234636,0.043892089799090137,0.03390526981731233,0.0360456914760606,0.039385725675128526,0.04277771205694656,0.030668934077659096,0.031240174500154764,0.03496804293999923,0.037456659634142235,0.00782742262574132,0.013834936591096492,0.016213549217468405,0.008623155848112104,0.02014257743302905
MSCI EM Value NR USD,0.027368734259797252,0.023807420488437855,0.036405169010587664,0.032144364735400145,0.030844440556703843,0.026297199214601608,0.032685061314758374,0.030668934077659096,0.03419314125174046,0.033228733202173406,0.034507273329720256,0.035105622347970704,0.004964882952403772,0.010922432531115767,0.011123838846246077,0.006202355825643739,0.016529526265601027
MSCI EM Growth NR USD,0.024368540823826418,0.026337978021806735,0.032414916918033145,0.032709862579334385,0.026259015827876635,0.026826035654304806,0.029434839583636872,0.031240174500154764,0.033228733202173406,0.03966141721594098,0.03217228973626057,0.03531651343762555,0.0067430867361744,0.012834385556137477,0.012895790651241437,0.007893261309285565,0.016894991339073902
